municipio,temperatura_media_periodo,temperatura_min_periodo,temperatura_max_periodo,humedad_media_periodo,humedad_min_periodo,humedad_max_periodo,precipitacion_total_periodo_mm,semanas_climaticas_disponibles,semanas_cobertura_suficiente,dias_temperatura,dias_humedad,dias_precipitacion,porcentaje_semanas_cobertura_suficiente,porcentaje_dias_temperatura,porcentaje_dias_humedad,porcentaje_dias_precipitacion,precipitacion_media_dia_observado,cobertura_climatica_alta,periodo_clima,departamento_dengue,anio,casos_dengue_acumulados_se1_13,incidencia_por_10000_hab,departamento_malaria,p_vivax,p_falciparum,mixta,total_malaria,dengue_disponible,malaria_disponible,periodo_epidemiologia,alineacion_temporal_completa,nota_integracion
GUAYARAMERIN,26.61326005570878,22.01,35.13,91.6954532941014,55.0,100.0,520.3,11,11,74,74,74,100.0,96.1,96.1,96.1,7.03,True,SE3-13 2026,BENI,2026,9,2.2,BENI,199.0,87.0,7.0,293.0,True,True,SE1-13 2026,False,Clima disponible para SE3-13 de 2026; dengue y malaria corresponden a acumulados municipales SE1-13 de 2026. No se reconstruyeron casos semanales municipales ni se imputaron valores epidemiológicos ausentes.
IXIAMAS,24.903175887521027,19.89,33.6,89.3251296509215,48.0,99.0,873.9000000000001,11,11,74,74,74,100.0,96.1,96.1,96.1,11.81,True,SE3-13 2026,LA PAZ,2026,15,12.0,PANDO,100.0,52.0,4.0,156.0,True,True,SE1-13 2026,False,Clima disponible para SE3-13 de 2026; dengue y malaria corresponden a acumulados municipales SE1-13 de 2026. No se reconstruyeron casos semanales municipales ni se imputaron valores epidemiológicos ausentes.
PALOS BLANCOS,25.83111787816349,19.45,39.15,92.3704560857918,42.0,100.0,338.8,11,6,55,55,55,54.55,71.43,71.43,71.43,6.16,False,SE3-13 2026,LA PAZ,2026,5,1.9,,,,,,True,False,SE1-13 2026,False,Clima disponible para SE3-13 de 2026; dengue y malaria corresponden a acumulados municipales SE1-13 de 2026. No se reconstruyeron casos semanales municipales ni se imputaron valores epidemiológicos ausentes.
SAN BUENAVENTURA,26.599469056704336,20.86,37.15,91.42622953621627,56.0,100.0,8.5,11,3,48,48,48,27.27,62.34,62.34,62.34,0.18,False,SE3-13 2026,LA PAZ,2026,22,21.7,LA PAZ,1.0,0.0,0.0,1.0,True,True,SE1-13 2026,False,Clima disponible para SE3-13 de 2026; dengue y malaria corresponden a acumulados municipales SE1-13 de 2026. No se reconstruyeron casos semanales municipales ni se imputaron valores epidemiológicos ausentes.
