modelo,objetivos_evaluados,mae,rmse,mape
tendencia_lineal,8,10.247871572871576,15.049386558655792,108.40572956161189
persistencia,8,10.75,13.856406460551018,95.24028252337075
media_expansiva,8,11.43385642135642,13.400565469659158,81.30275653363887
ar1,8,12.069377208834268,14.462786926922574,96.67949414074941
