semana_objetivo,valor_real,pred_persistencia,pred_media_expansiva,pred_tendencia_lineal,pred_ar1
6,26.0,31.0,20.6,29.6,40.06666666666668
7,27.0,26.0,21.5,30.199999999999996,25.138014527845044
8,40.0,27.0,22.285714285714285,30.857142857142865,26.272647317502198
9,37.0,40.0,24.5,37.571428571428584,41.684350132625994
10,44.0,37.0,25.88888888888889,40.2222222222222,36.46938775510205
11,25.0,44.0,27.7,44.60000000000001,45.158657243816265
12,34.0,25.0,27.454545454545453,40.54545454545453,26.801428416837993
13,5.0,34.0,28.0,40.54545454545454,32.3268216448525
