,count,mean,std,min,25%,50%,75%,max
temperatura_media,44.0,25.986755719524407,1.1879609579557353,23.56330128205128,25.187178571428568,26.174613721804512,26.661645574534163,28.34527946127946
humedad_media,44.0,91.20431714175776,3.464720320426394,83.73052631578948,88.9402882996633,90.99345238095238,93.28157467532468,100.0
precipitacion_total_mm,44.0,39.57954545454546,46.801702312239314,0.0,0.525,26.200000000000003,62.375,215.0
