,temperatura_media,humedad_media,precipitacion_total_mm
temperatura_media,1.0,-0.5537064191694323,-0.46871463837949295
humedad_media,-0.5537064191694323,1.0,0.06883910848536651
precipitacion_total_mm,-0.46871463837949295,0.06883910848536651,1.0
