fecha_hora,municipio,wigos_id,variable,valor,unidad,phenomenon_time,latitud,longitud,fuente
2026-01-15 16:00:00+00:00,GUAYARAMERIN,0-68-0-810201111863,air_temperature,34.81,Celsius,2026-01-15T16:00:00Z,-10.83391,-65.34004,SENAMHI Bolivia - WIS 2.0
2026-01-15 16:00:00+00:00,GUAYARAMERIN,0-68-0-810201111863,relative_humidity,55.0,%,2026-01-15T16:00:00Z,-10.83391,-65.34004,SENAMHI Bolivia - WIS 2.0
2026-01-15 16:00:00+00:00,GUAYARAMERIN,0-68-0-810201111863,total_precipitation_or_total_water_equivalent,0.7000000000000001,kg m-2,2026-01-14T16:00:00Z/2026-01-15T16:00:00Z,-10.83391,-65.34004,SENAMHI Bolivia - WIS 2.0
2026-01-15 17:00:00+00:00,GUAYARAMERIN,0-68-0-810201111863,air_temperature,29.35,Celsius,2026-01-15T17:00:00Z,-10.83391,-65.34004,SENAMHI Bolivia - WIS 2.0
2026-01-15 17:00:00+00:00,GUAYARAMERIN,0-68-0-810201111863,relative_humidity,79.0,%,2026-01-15T17:00:00Z,-10.83391,-65.34004,SENAMHI Bolivia - WIS 2.0
2026-01-15 17:00:00+00:00,GUAYARAMERIN,0-68-0-810201111863,total_precipitation_or_total_water_equivalent,0.7000000000000001,kg m-2,2026-01-14T17:00:00Z/2026-01-15T17:00:00Z,-10.83391,-65.34004,SENAMHI Bolivia - WIS 2.0
2026-01-15 18:00:00+00:00,GUAYARAMERIN,0-68-0-810201111863,air_temperature,28.45,Celsius,2026-01-15T18:00:00Z,-10.83391,-65.34004,SENAMHI Bolivia - WIS 2.0
2026-01-15 18:00:00+00:00,GUAYARAMERIN,0-68-0-810201111863,relative_humidity,86.0,%,2026-01-15T18:00:00Z,-10.83391,-65.34004,SENAMHI Bolivia - WIS 2.0
2026-01-15 18:00:00+00:00,GUAYARAMERIN,0-68-0-810201111863,total_precipitation_or_total_water_equivalent,0.0,kg m-2,2026-01-14T18:00:00Z/2026-01-15T18:00:00Z,-10.83391,-65.34004,SENAMHI Bolivia - WIS 2.0
2026-01-15 19:00:00+00:00,GUAYARAMERIN,0-68-0-810201111863,air_temperature,26.37,Celsius,2026-01-15T19:00:00Z,-10.83391,-65.34004,SENAMHI Bolivia - WIS 2.0
2026-01-15 19:00:00+00:00,GUAYARAMERIN,0-68-0-810201111863,relative_humidity,100.0,%,2026-01-15T19:00:00Z,-10.83391,-65.34004,SENAMHI Bolivia - WIS 2.0
2026-01-15 19:00:00+00:00,GUAYARAMERIN,0-68-0-810201111863,total_precipitation_or_total_water_equivalent,0.0,kg m-2,2026-01-14T19:00:00Z/2026-01-15T19:00:00Z,-10.83391,-65.34004,SENAMHI Bolivia - WIS 2.0
