municipio,Temperatura,Humedad,Precipitación,Dengue,Incidencia dengue,Malaria
GUAYARAMERIN,1.0,0.7783479682304895,0.588993981083405,0.23529411764705882,0.015151515151515164,1.0
IXIAMAS,0.0,0.0,1.0,0.5882352941176471,0.51010101010101,0.5308219178082192
PALOS BLANCOS,0.5426294260275165,1.0,0.5141874462596733,0.0,0.0,
SAN BUENAVENTURA,0.9919354852462865,0.6899424184009584,0.0,1.0,1.0,0.0
