,Temperatura,Humedad,Precipitación,Dengue,Incidencia dengue,Malaria
Temperatura,1.0,0.7200622404528949,-0.797041442929526,0.11591759890211874,0.06013059556602256,-0.028558950805789067
Humedad,0.7200622404528949,1.0,-0.611908967731697,-0.44680974663631967,-0.38881433143210675,0.06828266904928927
Precipitación,-0.797041442929526,-0.611908967731697,1.0,-0.4321611696518278,-0.4830342080630978,0.6143609607743357
Dengue,0.11591759890211874,-0.44680974663631967,-0.4321611696518278,1.0,0.977832081439444,-0.9999612157635869
Incidencia dengue,0.06013059556602256,-0.38881433143210675,-0.4830342080630978,0.977832081439444,1.0,-0.9992575867194585
Malaria,-0.028558950805789067,0.06828266904928927,0.6143609607743357,-0.9999612157635869,-0.9992575867194585,1.0
