departamento,municipio,anio,casos_dengue_acumulados_se1_13,incidencia_por_10000_hab,periodo,fuente,pagina_fuente,nota
BENI,SAN BORJA,2026,140,30.7,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.
LA PAZ,CARANAVI,2026,60,10.2,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.
