,anio,p_vivax,p_falciparum,mixta,total_malaria,pagina_fuente
count,21.0,21.0,21.0,21.0,21.0,21.0
mean,2026.0,63.0,11.904761904761905,2.0,76.9047619047619,12.0
std,0.0,130.75090821864296,24.35344895883284,5.9833101206606365,154.77270585019335,0.0
min,2026.0,0.0,0.0,0.0,1.0,12.0
25%,2026.0,11.0,0.0,0.0,12.0,12.0
50%,2026.0,21.0,1.0,0.0,22.0,12.0
75%,2026.0,52.0,3.0,1.0,55.0,12.0
max,2026.0,597.0,87.0,27.0,682.0,12.0
